track_artist,track_title,count,post_count,first_seen,last_seen,source_url
Kenny Dixon Jr,Shades of Jae,4,4,2010-11-08,2014-09-08,https://youtube.com/watch?v=IyuBoSh_yWY
,DJ SLUGO -- A BLUNT,3,3,2012-01-31,2014-09-07,https://youtube.com/watch?v=CRtuPIquIeQ
Cut Chemist,What's the Altitude (ft Hymnal) [HD] [Vinyl],1,1,2014-09-03,2014-09-03,https://youtube.com/watch?v=Q8ER41n9SRE
Boo Williams,Anger (Chi-Town Dub Mix),3,3,2012-11-26,2014-09-03,http://youtu.be/5qGwnyQuYxo
Traumprinz,Changes,2,2,2013-01-21,2014-09-01,https://youtube.com/watch?v=zC2JmVDQZTY
,Rhythm is a dancer,1,1,2014-09-01,2014-09-01,http://youtube.com/watch?v=WMPM1q_Uyxc
Big Strick Feat. Omar-S,Family Affair,2,2,2013-04-29,2014-09-01,http://youtube.com/watch?v=K7I6-fPyyrk
Dj Sneak,Fear The World,1,1,2014-08-31,2014-08-31,https://youtube.com/watch?v=5Cj1-kq2NC4
Jazzanova,Look What You're Doin' To Me (MCDE Remix),2,2,2013-03-25,2014-08-31,https://youtube.com/watch?v=Dtj9kJ8nRRE
Ajukaja & Andrevski,Expensive Shit,1,1,2014-08-31,2014-08-31,http://youtu.be/gT8uqU8_tr4
Dr Alban,Sing Hallelujah,1,1,2014-08-27,2014-08-27,http://youtu.be/L03JVPaZpyc
Goldie,Innercity Life,3,3,2010-08-23,2014-08-26,http://youtu.be/x8u7MNG-ug8
,Norm Talley Join Hands,2,2,2013-10-21,2014-08-26,https://youtube.com/watch?v=_bs77zBHWPI
Goodbye Horses,Q Lazzarus,4,4,2012-02-28,2014-08-25,https://youtube.com/watch?v=X_DVS_303kQ
Hans Berg,'Tucan Fever',1,1,2014-08-25,2014-08-25,https://youtube.com/watch?v=LUJ0ypqzRQo
Hermans,Dread Baron (Basic Soul Unit Remix) [Zodiac 44 - ZAIRES],1,1,2014-08-25,2014-08-25,https://youtube.com/watch?v=sDCsbmDkeNk
tracey thorn,its all true ( martin buttrich remix ),2,2,2014-01-27,2014-08-25,https://youtube.com/watch?v=-nIDL6wIBUU
,Suburban Boyz Insane,5,5,2012-05-07,2014-08-25,http://youtu.be/cUxn7PRkEbc
Genius of Time,Juno Jam (Complete Track),2,2,2014-07-12,2014-08-24,https://youtube.com/watch?v=zwCQ84OSsP8
Point G,Braka,2,2,2013-12-16,2014-08-20,https://youtube.com/watch?v=HkfYxpf8ABo
,Royal House (Todd Terry)- Can You Party (ORIGINAL MIX & INST. DUB),1,1,2014-08-19,2014-08-19,https://youtube.com/watch?v=Z-1AgF-ElN0
,Seven Davis Jr.  'Friends',1,1,2014-08-19,2014-08-19,http://youtube.com/watch?v=CD_Z2qEfSI8
Chris & Cosey,Gardens Of The Pure,1,1,2014-08-18,2014-08-18,http://youtube.com/watch?v=suEV9JiE-eo
,IDRIS MUHAMMAD 'COULD HEAVEN EVER BE LIKE THIS',2,2,2012-04-09,2014-08-18,https://youtube.com/watch?v=a96OgR6hjDY&list=PLB17B2E9744D8D870
,NITRO DELUXE: LET'S GET BRUTAL (BRUTAL HOUSE MIX) (1987),1,1,2014-08-18,2014-08-18,https://youtube.com/watch?v=SphirFgwpwM
DJ Duke,"Can You Feel It (Carnival Mix) [Power Music Trax, 1993]",3,3,2014-02-18,2014-08-18,http://youtube.com/watch?v=-Mr1fniJegQ
Burnin',MK (original),3,3,2012-09-24,2014-08-18,http://youtube.com/watch?v=w_cQiVHJ_IY
Jonny L,This Time (Carl Craig Remix) 1996,3,3,2011-11-29,2014-08-18,http://youtu.be/QB9xG3oecr4
Evil Fred,Back Out,1,1,2014-08-18,2014-08-18,https://youtube.com/watch?v=ia1bSVg3lxM
Daniël Jacques,End Of My World (Mistress Recordings 04),3,3,2014-07-28,2014-08-18,http://youtu.be/qnBhoIb90i0
Armand Van Helden,Witch Doktor (Dark Ages Mix),2,2,2013-10-27,2014-08-18,https://youtube.com/watch?v=_D_BgXPQxqM
Kenlou,The Bounce,1,1,2014-08-17,2014-08-17,https://youtube.com/watch?v=GPZiak1BJho
,"Westbam And Nena _ Oldschool, Baby (Piano Mix)",4,4,2013-01-02,2014-08-17,https://youtube.com/watch?v=-eDwOq7aTaM
,ease (original mix) chambray,1,1,2014-08-17,2014-08-17,http://youtu.be/xWw9llbSK0M
Marco Carola,Day And Night,3,3,2012-11-25,2014-08-17,https://youtube.com/watch?v=1dp7XVQ_WIs
Kreem,Triangle Of Love,2,2,2013-05-21,2014-08-12,https://youtube.com/watch?v=J3qGhpYTEe0
Matrixxman,Case Closed,1,1,2014-08-11,2014-08-11,http://youtu.be/3dL6fCtG0pI
Miquel Brown,So Many Man So Little Time ( Long Version ) HQ Video Mix By Sergio Luna,1,1,2014-08-11,2014-08-11,https://youtube.com/watch?v=H9NQwVC7gL0
Mr. Flagio,Take A Chance,1,1,2014-08-11,2014-08-11,http://youtube.com/watch?v=fmbjitkR26I
Evelyn Thomas,High Energy,2,2,2012-03-05,2014-08-11,https://youtube.com/watch?v=c6uVXJ3x2Sk
Bjork,Violently happy,3,3,2014-05-05,2014-08-10,https://youtube.com/watch?v=hs1sIgPzOT0
Gipsy﻿ Kink,Music Is The Answer (Bootleg Remix),2,2,2011-10-10,2014-08-09,https://youtube.com/watch?v=qxlxnjvOkY0
Laid,Punch Up (Frankie Feliciano Original Edit),3,3,2012-11-26,2014-08-05,http://youtube.com/watch?v=4hsOGpdXem0
Midland,For (Yacht) Club Use Only,2,2,2013-06-04,2014-08-04,https://youtube.com/watch?v=AVVA6EbTA60
Monobox,Film (Original Mix) [M-Plant],1,1,2014-08-04,2014-08-04,https://youtube.com/watch?v=JhXq_-_jSEk
Sunday Disco Romance,Mathew Jonson,2,2,2012-09-24,2014-08-04,http://youtube.com/watch?v=6FZhD0dlkuA
,The Knife- Pass This on (Dahlbäck and Dahlbäck remix),2,2,2014-01-20,2014-08-04,https://youtube.com/watch?v=_DoM9lOJVGI
Blunt Instruments,Hold Back [Dungeon Meat - DMT 01],3,3,2014-04-29,2014-08-02,https://youtube.com/watch?v=ufp7Wkog4MQ
Röyksopp,What Else Is There (Thin White Duke remix) [HD],1,1,2014-08-01,2014-08-01,https://youtube.com/watch?v=uVvoXnJ_DDg
